total,43379
N,correct,accuracy
10,41128,0.9481085317780493
9,40891,0.9426450586689412
8,40646,0.9369971645266143
7,40334,0.9298047442310795
6,39974,0.9215057977362319
5,39482,0.9101639041932732
4,38798,0.8943959058530625
3,37796,0.871297171442403
2,36209,0.8347126489776159
1,32165,0.741487816685493
